player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"Ball, Lonzo"		G	NO	56	628	259	139	41.2	67	38	56.7	695	12.4	392	7	348	6.2	80	1.4	30	0.5	1815	32.41
"Bamba, Mo"		C	ORL	60	282	132	37	46.8	46	31	67.4	332	5.5	42	0.7	299	5	22	0.4	85	1.4	869	14.48
"Bane, Desmond"		G	MEM																				
"Barea, J.J."		G	DAL	26	179	74	29	41.3	18	17	94.4	194	7.5	99	3.8	48	1.8	4	0.2	2	0.1	394	15.15
"Barnes, Harrison"		F	SAC	64	711	326	93	45.9	244	196	80.3	941	14.7	152	2.4	306	4.8	38	0.6	10	0.2	2229	34.83
"Barrett, RJ"		G	NY	56	727	292	63	40.2	254	156	61.4	803	14.3	143	2.6	279	5	55	1	17	0.3	1705	30.45
"Barton, Will"		F	DEN	58	738	332	108	45	133	102	76.7	874	15.1	212	3.7	365	6.3	61	1.1	29	0.5	1918	33.07
"Bates-Diop, Keita"		F	SA	39	208	89	31	42.8	69	49	71	258	6.6	30	0.8	112	2.9	17	0.4	21	0.5	664	17.03
"Batum, Nicolas"		F	LAC	22	81	28	14	34.6	10	9	90	79	3.6	66	3	100	4.5	17	0.8	8	0.4	508	23.09
"Baynes, Aron"		"C,F"	TOR	42	381	183	59	48	75	56	74.7	481	11.5	67	1.6	237	5.6	10	0.2	23	0.5	936	22.29
"Bazemore, Kent"		G	GS	64	495	185	78	37.4	142	109	76.8	557	8.7	85	1.3	277	4.3	70	1.1	39	0.6	1605	25.08
"Bazley, Darius"		F	OKC	53	230	88	30	38.3	47	32	68.1	238	4.5	29	0.5	196	3.7	20	0.4	35	0.7	910	17.17
"Beal, Bradley"		G	WAS	57	1303	593	170	45.5	457	385	84.2	1741	30.5	347	6.1	242	4.2	71	1.2	23	0.4	2051	35.98
"Beasley, Malik"		G	MIN	55	534	227	107	42.5	66	54	81.8	615	11.2	75	1.4	148	2.7	40	0.7	8	0.1	1212	22.04
"Belinelli, Marco"		G	SA	52	271	106	57	39.1	41	32	78	301	5.8	64	1.2	90	1.7	10	0.2	1	0	775	14.9
"Bell, Jordan"		"C,F"	LAL	29	67	35	4	52.2	31	19	61.3	93	3.2	16	0.6	81	2.8	3	0.1	10	0.3	257	8.86
"Bembry, DeAndre'"		G	TOR	43	228	104	15	45.6	48	26	54.2	249	5.8	81	1.9	152	3.5	55	1.3	19	0.4	914	21.26
"Bender, Dragan"		F	GS	16	92	41	15	44.6	14	10	71.4	107	6.7	28	1.8	73	4.6	4	0.3	9	0.6	285	17.81
