rank	player	team	position	adp	min	max
193	"Dort, Luguentz"	OKC	G	196.93	175	230
194	"Prince, Taurean"	BKN	F	198.13	130	251
195	"Howard, Dwight"	PHI	C	198.53	157	236
196	"Kanter, Enes"	POR	C	198.73	164	226
197	"Olynyk, Kelly"	MIA	C	201.00	173	260
198	"Wagner, Moritz"	WAS	C	203.40	152	285
199	"Beverley, Patrick"	LAC	G	205.00	168	234
200	"Thompson, Klay"	GS	G	205.13	36	296
201	"Jones, Derrick"	POR	F	205.20	172	258
202	"Milton, Shake"	PHI	G	206.13	147	256
203	"Thybulle, Matisse"	PHI	G	209.00	158	273
204	"Hayes, Jaxson"	NO	C	209.33	161	240
205	"Dunn, Kris"	ATL	G	209.33	150	256
206	"Okoro, Isaac"	CLE	G	209.53	180	245
207	"Morris, Monte"	DEN	G	209.87	157	259
208	"Holiday, Justin"	IND	G	210.13	178	244
209	"Cauley-Stein, Willie"	DAL	C	212.40	170	242
210	"Hart, Josh"	NO	F	212.67	159	258
211	"Holiday, Aaron"	IND	G	213.27	175	238
212	"O'Neale, Royce"	UTH	F	215.27	193	244
213	"Johnson, Keldon"	SA	F	215.53	187	273
214	"Young, Thaddeus"	CHI	F	217.67	178	264
215	"Tucker, P.J."	HOU	F	217.87	175	250
